word,polarity,frequency
luckily,neutral,174
main,neutral,174
aside,neutral,174
town,neutral,174
blonde,neutral,174
lose,negative,174
scam,negative,174
separate,neutral,173
specifically,neutral,173
wonderfully,positive,173
cbo,neutral,173
empathy,positive,172
easily,neutral,172
social,neutral,172
road,neutral,172
macauto,neutral,172
ten,neutral,171
occasionally,neutral,171
delivering,neutral,171
egg,neutral,171
per,neutral,171
messed,negative,170
human,neutral,169
resolved,neutral,169
numbers,neutral,169
replied,neutral,169
evening,neutral,169
further,neutral,169
interior,neutral,168
remove,neutral,168
explained,neutral,167
higher,neutral,167
cups,neutral,167
quantity,neutral,167
write,neutral,167
cleaner,positive,167
pass,neutral,167
overflowing,neutral,167
means,neutral,166
become,neutral,166
enjoyed,positive,166
unhealthy,negative,166
soggy,neutral,165
break,negative,165
juice,neutral,165
loud,negative,165
manner,neutral,164
delay,negative,164
presentation,neutral,164
laughing,neutral,164
dark,negative,163
mentioned,neutral,163
competition,neutral,163
speaking,neutral,163
magnificent,positive,162
report,neutral,162
angry,negative,162
responsible,neutral,162
gotten,neutral,161
questions,neutral,161
shouting,neutral,161
cafe,neutral,161
meet,neutral,161
soap,neutral,161
local,neutral,161
distancing,neutral,160
flies,neutral,159
detail,neutral,159
locations,neutral,158
furthermore,neutral,158
tonight,neutral,158
doors,neutral,158
endless,neutral,158
google,neutral,158
words,neutral,158
lower,neutral,157
previous,neutral,157
fastest,positive,157
deserve,neutral,156
behavior,neutral,156
colleagues,neutral,156
necessary,neutral,156
capacity,neutral,156
note,neutral,156
state,neutral,155
hunger,neutral,155
black,neutral,155
collect,neutral,155
slice,neutral,155
mediocre,negative,155
wash,neutral,154
unbeatable,positive,154
rules,neutral,154
fair,positive,154
faces,neutral,154
light,neutral,153
triple,neutral,153
women,neutral,153
celiac,neutral,153
presented,neutral,153
knowing,neutral,152
portion,neutral,152
finish,neutral,152
extreme,neutral,151
totally,neutral,151
schedule,neutral,151
filled,neutral,151
topping,neutral,151
sick,negative,150
replaced,neutral,150
decor,neutral,150
guard,neutral,150
delighted,positive,150
returned,neutral,150
parents,neutral,149
explanation,neutral,149
understandable,positive,149
stock,neutral,149
flat,neutral,149
stomach,neutral,149
training,neutral,149
wife,neutral,149
mcallen,neutral,149
offering,neutral,149
mcflurrys,neutral,149
practical,neutral,149
guess,neutral,148
jobs,neutral,148
comments,neutral,148
joke,negative,148
carefully,neutral,148
cut,neutral,147
fed,neutral,147
awesome,positive,147
requested,neutral,146
gas,neutral,146
suppose,neutral,146
